Text,Symptom
I have an intense urge to scratch my skin all over my body,itching
My skin feels like it's crawling with insects,itching
I've been waking up in the middle of the night because of how itchy I am,itching
I've noticed red bumps appearing all over my body that are really itchy,itching
I can't wear certain fabrics or use certain soaps because they make my skin itch even more,itching
I have a red bumpy rash on my arms and legs that won't go away,skin_rash
My skin is really dry and itchy and there's a rash forming around it,skin_rash
I have a rash that started on my chest and has now spread to other parts of my body,skin_rash
I noticed a rash on my skin that looks like small fluid-filled blisters,skin_rash
The rash on my skin is really painful and feels like a burning sensation,skin_rash
I have these bumps on my skin that feel like hard lumps,nodal_skin_eruptions
The skin on my arms and legs has small nodules that are really painful,nodal_skin_eruptions
I noticed raised red bumps on my skin that are really itchy,nodal_skin_eruptions
The nodules on my skin have grown in size and number over the past few weeks,nodal_skin_eruptions
The nodules on my skin are really sensitive to touch and are causing me a lot of discomfort,nodal_skin_eruptions
I can't stop sneezing it's like my nose is always itchy,continuous_sneezing
I've been sneezing non-stop for the past few days and it's really affecting my daily life,continuous_sneezing
Whenever I go outside or am exposed to allergens I start sneezing continuously,continuous_sneezing
I have a runny nose and sneeze a lot especially in the mornings,continuous_sneezing
My eyes are watery and itchy and I can't stop sneezing,continuous_sneezing
I can't stop shivering even though I'm wearing warm clothes,shivering
I feel like I have a fever because of how much I'm shivering and experiencing chills,shivering
I'm feeling really cold even though it's warm inside,shivering
My body temperature keeps fluctuating and I'm experiencing chills as a result,shivering
I've been shivering uncontrollably for the past hour and I can't seem to warm up,shivering
I'm experiencing sudden waves of intense coldness that make my entire body shiver,chills
I'm feeling really weak and shaky and I keep getting these intense bouts of chills,chills
The chills are making me feel nauseous and light-headed,chills
I feel like I can't get warm and the chills are getting more frequent and severe,chills
The chills are really uncomfortable and they're making me feel exhausted and drained,chills
My joints ache all the time and it's making it hard to move around,joint_pain
I feel really stiff and sore especially in my knees and shoulders,joint_pain
The joint pain is so bad that I can't even lift things or perform simple tasks without experiencing discomfort,joint_pain
The pain in my joints is throbbing and constant and I'm finding it hard to find any relief,joint_pain
The joint pain is affecting my mobility and causing me to feel frustrated and helpless,joint_pain
I have a sharp stabbing pain in my stomach that won't go away,stomach_pain
I feel really bloated and uncomfortable and the stomach pain is making it hard to eat or drink anything,stomach_pain
The stomach pain is accompanied by nausea and vomiting and I'm not sure what's causing it,stomach_pain
The pain in my stomach is cramping and persistent and it's making me feel anxious and worried,stomach_pain
I've been experiencing stomach pain for a while now and it's starting to interfere with my daily life,stomach_pain
I have a burning sensation in my chest and throat that feels like acid is rising up from my stomach,acidity
The acidity is causing me to feel nauseous and bloated and I'm having trouble digesting food,acidity
The acid reflux is making it hard to sleep at night and I'm constantly waking up with a sour taste in my mouth,acidity
The acidity is accompanied by stomach pain and discomfort and it's making me feel really anxious and frustrated,acidity
I've tried taking antacids but they don't seem to be providing any relief from the acidity,acidity
I have painful sores on my tongue that are making it hard to eat or talk,ulcers_on_tongue
The ulcers on my tongue are causing a lot of discomfort and pain and they're not going away,ulcers_on_tongue
I feel really self-conscious about the ulcers on my tongue and I'm worried they might be contagious,ulcers_on_tongue
The ulcers on my tongue are making it hard to brush my teeth or drink anything and I'm feeling really frustrated and uncomfortable,ulcers_on_tongue
I'm not sure what's causing the ulcers on my tongue but they're making me feel really anxious and worried,ulcers_on_tongue
My muscles are getting weaker and I'm having trouble doing simple tasks like lifting objects or walking up stairs,muscle_wasting
I've noticed a significant decrease in my muscle mass and it's making me feel really self-conscious,muscle_wasting
The muscle wasting is causing me to feel fatigued and tired all the time and I'm finding it hard to stay motivated,muscle_wasting
I've been losing muscle mass even though I haven't changed my exercise routine or diet and I'm not sure what's causing it,muscle_wasting
The muscle wasting is affecting my balance and coordination and I'm worried that it might lead to falls or injuries,muscle_wasting
I'm feeling really nauseous and keep vomiting even though I haven't eaten anything,vomiting
The vomiting is making me feel weak and dehydrated and I'm finding it hard to keep anything down,vomiting
I've been vomiting for a while now and it's starting to affect my appetite and energy levels,vomiting
The vomiting is accompanied by stomach pain and discomfort and I'm not sure what's causing it,vomiting
I'm feeling embarrassed about the vomiting and I'm worried that it might be a symptom of a more serious condition,vomiting
I'm experiencing a burning sensation when I pee and it's really uncomfortable,burning_micturition
The burning sensation is accompanied by frequent urination and a sense of urgency and it's interfering with my daily life,burning_micturition
I've noticed blood in my urine along with the burning sensation and I'm worried that it might be a sign of something serious,burning_micturition
The burning micturition is causing me to feel anxious and stressed and I'm finding it hard to focus on anything else,burning_micturition
I'm not sure what's causing the burning sensation but it's making me feel really uncomfortable and uneasy,burning_micturition
I feel really tired and drained all the time even after a full night's sleep,fatigue
The fatigue is affecting my ability to concentrate and focus and it's interfering with my work and daily activities,fatigue
I'm feeling weak and lethargic and I'm finding it hard to motivate myself to do anything,fatigue
The fatigue is accompanied by muscle weakness and soreness and I'm not sure what's causing it,fatigue
I'm feeling frustrated and overwhelmed by the constant fatigue and I'm not sure how to improve my energy levels,fatigue
I've noticed that I've been gaining weight rapidly even though I haven't changed my diet or exercise routine,weight_gain
The weight gain is causing me to feel self-conscious and uncomfortable in my own skin,weight_gain
I'm feeling bloated and sluggish and the weight gain is making it hard for me to move around comfortably,weight_gain
I'm worried that the weight gain might be a sign of a more serious health condition and I'm feeling anxious and stressed,weight_gain
I've tried to lose weight but nothing seems to be working and I'm feeling frustrated and helpless,weight_gain
I constantly feel on edge and worried about everything,anxiety
I have a racing heart and sweaty palms even when there's no real reason to be anxious,anxiety
I feel like I'm always waiting for something bad to happen and it's really affecting my daily life,anxiety
I'm struggling with intrusive thoughts and can't seem to shake them,anxiety
I have trouble sleeping because I'm constantly worrying about things,anxiety
My hands and feet are always freezing no matter how many layers I wear,cold_hands_and_feets
I have trouble staying warm even when I'm indoors,cold_hands_and_feets
My fingers and toes turn blue and feel numb when they get really cold,cold_hands_and_feets
I feel like I'm constantly rubbing my hands together to try to warm them up,cold_hands_and_feets
I'm starting to notice that my cold hands and feet are starting to affect my daily activities,cold_hands_and_feets
I feel like I'm on an emotional rollercoaster with my moods changing rapidly,mood_swings
I can go from feeling happy to feeling really down in a matter of minutes,mood_swings
I'm struggling to control my emotions and find myself lashing out at loved ones,mood_swings
I feel like my mood swings are impacting my relationships and my ability to function in daily life,mood_swings
I'm starting to feel like I'm not myself anymore and it's really scary,mood_swings
I've been losing weight rapidly without even trying,weight_loss
I'm experiencing a loss of appetite and struggle to eat anything,weight_loss
I'm losing weight so quickly that it's starting to worry me,weight_loss
I feel weak and tired all the time and I think it's because I'm not getting enough nutrients,weight_loss
My clothes are starting to feel loose and I'm starting to look gaunt,weight_loss
I have trouble sitting still and feel like I need to constantly move around,restlessness
I find it hard to relax and unwind even at night,restlessness
I feel like I have excess energy that I don't know how to release,restlessness
I find myself pacing around the house when I'm feeling restless,restlessness
I feel like I'm constantly fidgeting with my hands or feet,restlessness
I feel like I'm constantly tired and have no energy,lethargy
It's been difficult for me to get out of bed in the morning,lethargy
I find myself taking naps during the day because I'm so tired,lethargy
I don't feel like doing anything and lack motivation,lethargy
I feel like I'm in a daze and can't concentrate on anything,lethargy
I have white or red patches in my throat that are painful,patches_in_throat
I feel like there's something stuck in my throat,patches_in_throat
I have difficulty swallowing and it hurts to do so,patches_in_throat
